Name,Political Party,Nationality,Religion
Abbas al-Musawi,-,Lebanese,-
Abu Nidal,,Palestinian,-
Alexander Haig,Republican,-,-
nobold,plainlist,-,-
René Moawad,Independent,-,-
Avi Shlaim,-,-,-
Bachir Gemayel,Kataeb Party,-,-
Bachir Gemayel,Kataeb Party,-,-
Benny Morris,-,-,-
Caspar Weinberger,Republican,-,-
Script/Hebrew,,Israeli,-
David Hirst,-,British,-
David Ivry,-,-,-
David Ivry,-,-,-
Ehud Barak,Israel Democratic Party,-,-
Ehod Yaari,-,Israeli,-
Élias Sarkis,Chehabist,Lebanese,-
Elie Hobeika,-,Lebanese,-
Fadi Frem,-,-,-
שלמה גזית,-,-,-
George Hawi,"November 2016,Democratic Left Movement Citation needed,Lebanese Communist Party",-,-
George Ball,Democratic,-,-
Habib Tanious Shar,-,Lebanese,-
Hafez al-Assad,,-,-
Harvey Kushner,-,-,-
Husayn ibn Ali,-,-,Islam
Ide Oumarou,-,Nigerien,-
Imad Mughniyeh,Hezbollah,Lebanese,-
Kader Asmal,African National Congress,-,-
Kai Bird,-,-,-
Khalil al-Wazir,-,-,-
Kurt Waldheim,ÖVP,-,-
-,-,-,-
Mahsum Korkmaz,-,-,-
Martin Gilbert,-,-,-
Meir Vilner,-,-,-
nobold,-,-,-
Mohsin Ibrahim,"Communist Action Organization in Lebanon,Organization of Lebanese Socialists,Lebanese National Movement,Lebanese National Resistance Front,Arab Nationalist Movement",Lebanese,-
Monte Melkonian,-,-,-
Mohsin Ibrahim,"Communist Action Organization in Lebanon,Organization of Lebanese Socialists,Lebanese National Movement,Lebanese National Resistance Front,Arab Nationalist Movement",Lebanese,-
Murat Karayılan,-,-,-
-,Hezbollah,Lebanese,-
Mustafa Tlass,"Arab Socialist Baath Party – Syria Region of the Arab Socialist Baath Party,Was a member of the original Baath Party and its Syrian Regional Branch until 1966",Syrian,-
Nabih Berri,Amal Movement,Lebanese,-
Noam Chomsky,-,-,-
-,-,-,-
Osama bin Laden,-,-,-
Patrick Seale,-,British,-
Philip Habib,-,-,-
Rafael Eitan,-,-,-
Rafic Hariri,Future Movement,Lebanese and Saudi Arabian,Sunni Islam
Ragheb Harb,-,Lebanese,-
Rashid Karami,"Independent,Associated,the Lebanese National Movement during the Lebanese Civil War.",Lebanese,-
Richard Falk,-,-,-
Robert Fisk,-,-,-
-,,-,-
Saad Haddad,-,-,-
Saad Sayel,-,Palestinian,-
Saeed Muragha,-,-,-
Seán MacBride,ubl,Irish,-
Shlomo Argov,-,Israel,-
Shulamit Aloni,-,-,-
Noam Chomsky,-,-,-
Thomas Friedman,-,-,-
Yasser Arafat,Fatah,-,-
Yekutiel Adam,-,-,-
Yevgeny Primakov,"Independent,Fatherland – All Russia,Communist Party of the Soviet Union",Russian,-
-,-,-,-
Zeev Almog,-,-,-
Zeev Schiff,-,Israel,-
