الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
التنظيم (مترجمه),"معاداة الشيوعية ,قومية لبنانية ,عصبية قومية ",-,
الكتلة الدستورية (مترجمه),"العهد الوطني (مترجمه),قومية مدنية ,ليبرالية علمانية ,اللاطائفية ",مركز (توضيح) ,
التيار الوطني الحر ,"قومية لبنانية ,ديمقراطية مسيحية ,تزعم مصادر مختلفة وجود القومية المدنية والقومية المسيحية (مترجمه),قومية مدنية ","أوبل (مترجمه),يمينية ,مركز (توضيح) ,يسار الوسط (مترجمه)",
حراس الأرز ,"قومية لبنانية ,محافظة اجتماعية ,قومية إثنية ,قومية فينيقية ,عصبية قومية ,فاشية جديدة ,معاداة الشيوعية ,معاداة فلسطين والعلمانية (مترجمه)",اليمين المتطرف (مترجمه),
جبهة المقاومة الوطنية اللبنانية ,"معاداة الاستعمارية ,علمانية ,قومية عربية ,معاداة الصهيونية ,بعثية ,اشتراكية عربية ,الماركسيةاللينينية (مترجمه),القومية العربية (مترجمه),القومية اليسارية (مترجمه),القومية السورية ,اشتراكية ثورية ",أقصى اليسار (مترجمه),
حزب الكتائب اللبنانية (مترجمه),"قومية مسيحية ,مارونية سياسية ,قومية لبنانية ,محافظة اجتماعية ,الفلانخية ,معاداة الشيوعية ,ديمقراطية مسيحية ","يمين الوسط (مترجمه),يمينية ,أقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
حزب الكتائب اللبنانية (مترجمه),"قومية مسيحية ,مارونية سياسية ,قومية لبنانية ,محافظة اجتماعية ,الفلانخية ,معاداة الشيوعية ,ديمقراطية مسيحية ","يمين الوسط (مترجمه),يمينية ,أقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
القوات اللبنانية ,"قومية لبنانية ,ديمقراطية مسيحية ,محافظة ليبرالية ",يمينية ,"سمير جعجع ,بشير الجميل ,نائب الرئيس "
القوات اللبنانية ,"قومية مسيحية ,قومية لبنانية ,الفيدرالية في لبنان (مترجمه),معاداة الشيوعية ,مناهضة القومية العربية (مترجمه),موارنة ,سياسة محافظة ",من اليمين إلى أقصى اليمين (مترجمه),
القوات اللبنانية ,"قومية مسيحية ,قومية لبنانية ,الفيدرالية في لبنان (مترجمه),معاداة الشيوعية ,مناهضة القومية العربية (مترجمه),موارنة ,سياسة محافظة ",من اليمين إلى أقصى اليمين (مترجمه),
الجبهة اللبنانية ,"قومية مسيحية ,قومية لبنانية ,الفصائل (مترجمه),معاداة القومية العربية (مترجمه),قومية فينيقية ,الفلانخية ,معاداة فلسطين (مترجمه),معاداة الشيوعية ,معاداة العرب (مترجمه)",-,
الكتلة الوطنية (توضيح) ,"قومية لبنانية ,علمانية ,الفرانكوفيليا (مترجمه),محافظة ليبرالية ,ليبرالية ",مركز (توضيح) ,
الحركة الوطنية اللبنانية ,"علمانية ,قومية عربية ,وطنية فلسطينية ,معاداة الصهيونية ,شيوعية ,القومية العربية (مترجمه),اللاطائفية ,التعددية المذهبية (مترجمه),اشتراكية ",-,
تيار المردة ,"ديمقراطية مسيحية ,الحكومة الموالية لسوريا (مترجمه),قومية لبنانية ",يمينية ,"سليمان فرنجية ,جونيور (مترجمه),سليمان فرنجية "
الحزب الليبرالي الوطني (مترجمه),"ليبرالية وطنية ,ليبرالية اقتصادية ,فدرالية ",يمين الوسط (مترجمه),"كميل دوري شمعون ,روبرت خوري (مترجمه),فرانسوا زعتر (مترجمه),كميل شمعون "
الحزب السوري القومي الاجتماعي ,"فاشية ,التحرر السوري (مترجمه),قائمة قابلة للطي (مترجمه),القومية السورية ,قومية يسارية ,قومية اقتصادية ,معاداة الشيوعية ,أوبل (مترجمه),معاداة السامية ","efn مزامنة (مترجمه),و يمين (مترجمه),في بعض الأحيان يتم تصنيفها على أنها يمينية متطرفة (مترجمه),في بعض الأحيان يتم تصنيفها على أنها يمينية متطرفة (مترجمه),في الماضي (مترجمه),لقد أخطأ البعض في اعتبار الحزب أو عناصر أيديولوجيته أو أعضائه منتمين إلى اليسار السياسي. (مترجمه),و يمين (مترجمه)","داء الكلب بنات (مترجمه),أنطون سعادة "
