Name,Political Party,Nationality,Religion
Alfred Georges Naqqache,Kataeb Party,-,-
Ayoub Tabet,-,-,-
Bachir Gemayel,Kataeb Party,-,-
Bechara Khalil El Khoury,Constitutional Bloc,-,-
Camille Chamoun,"National Liberal Party,Constitutional Bloc",-,-
nobold,-,-,-
Charles Helou,-,Lebanese,-
Condoleezza Rice,,-,-
Dany Chamoun,National Liberal Party,-,-
Elias Hrawi,Independent,Lebanese,-
Elie Hobeika,-,Lebanese,-
Fouad Chehab,Independent,-,-
Gebran Bassil,Free Patriotic Movement,Lebanese,-
Geneviève Gemayel,-,Lebanese,-
George W. Bush,Republican,-,-
nobold,-,-,-
Habib Tanious Shar,-,Lebanese,-
Karim Pakradouni,-,Lebanese,-
-,-,-,-
Michel Aoun,Free Patriotic Movement,-,-
Michel Suleiman,Independent,-,-
Petro Trad,-,-,-
Pierre Amine Gemayel,Kataeb Party,-,-
Pierre Gemayel,Kataeb Party,Lebanese,-
Pierre Amine Gemayel,Kataeb Party,-,-
Privat-Antoine Aubouard,-,"French, Lebanese",-
Rafic Hariri,Future Movement,Lebanese and Saudi Arabian,Sunni Islam
Rashid Karami,"Independent,Associated,the Lebanese National Movement during the Lebanese Civil War.",Lebanese,-
René Moawad,Independent,-,-
Saddam Hussein,plainlist,-,-
Samir Geagea,Lebanese Forces,Lebanese,-
Samy Gemayel,Kataeb Party,Lebanese,-
Salim al-Huss,-,-,-
Shafik Wazzan,Independent,Lebanese,-
Suleiman Frangieh,Marada Movement,-,-
Walid Jumblatt,Progressive Socialist Party,-,-
Élias Sarkis,Chehabist,Lebanese,-
Émile Eddé,National Bloc,-,-
Émile Lahoud,Lebanese Armed Forces,-,-
