Name,Subdivision type,Subdivision name
Aadloun,Country,"Lebanon,Flag"
Anjar,Country,LBN
Iraq,-,-
Baalbek,Country,"Lebanon,Flag"
Beirut,Country,Lebanon
Dahieh,Country,Lebanon
-,Country,Syria
Egypt,-,-
European Union,-,-
France,-,-
Golan Heights,Status,"see Status of the Golan Heights efn,Syrian territory,two-thirds of which occupied by Israel efn,The United States recognized Israeli sovereignty over the Golan in March 2019. The US is the first country to recognize the Golan as Israeli territory,while the rest of the international community still considers it Syrian territory occupied by Israel."
Haifa,Country,"Israel,Flagu"
Iran,-,-
Iraq,-,-
Israel,-,-
Israeli occupation of Southern Lebanon,-,-
Israeli occupation of Southern Lebanon,-,-
Jordan,-,-
Egypt,-,-
Iraq,-,-
Kuwait,-,-
Lebanon,-,-
Libya,-,-
Morocco,-,-
Nahariyya,Country,ISR
North Korea,-,-
Ottoman Empire,-,-
Palestinian National Authority,-,-
Palestine,-,-
Quneitra District,Country,Syria
Saudi Arabia,-,-
Syrian Republic,-,-
Sidon,Country,Lebanon
Israeli occupation of Southern Lebanon,-,-
Soviet Union,-,-
Syria,-,-
Tunisia,-,-
Tyre,Country,"Lebanon,Flag"
Tyre,Country,"Lebanon,Flag"
UAE,-,-
United Arab Republic,-,-
United Kingdom,-,-
United States,-,-
Yemen,-,-
