الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
كتائب شهداء الأقصى (مترجمه),"يمكن افتراض القومية الفلسطينية ومعاداة الصهيونية (مترجمه),لكن لا تضيف أي أيديولوجيات أخرى إلا إذا كان لديك اهتمام حديث (مترجمه),قائمة بسيطة (مترجمه),معاداة الصهيونية ,علمانية ,وطنية فلسطينية ",-,
,"القومية العربية (مترجمه),معاداة الاستعمارية ,التيار الناصري ,اشتراكية عربية ,قومية عربية ",يسارية ,
حركة أمل ,"تقليدوية ,أوبل (مترجمه),معاداة الصهيونية ,قومية لبنانية ,شعبوية ,التعددية المذهبية (مترجمه),الوحدة الاسلامية المسيحية (مترجمه)",يمين الوسط (مترجمه),"نبيه بري ,موسى الصدر (مترجمه),حسين الحسيني (مترجمه),مصطفى تشمران ,غريغوار حداد "
حركة أمل ,"تقليدوية ,أوبل (مترجمه),معاداة الصهيونية ,قومية لبنانية ,شعبوية ,التعددية المذهبية (مترجمه),الوحدة الاسلامية المسيحية (مترجمه)",يمين الوسط (مترجمه),"نبيه بري ,موسى الصدر (مترجمه),حسين الحسيني (مترجمه),مصطفى تشمران ,غريغوار حداد "
اللجنة العربية العليا ,"وطنية فلسطينية ,قومية عربية ,معاداة الصهيونية ",-,
جيش الإنقاذ ,"معاداة الصهيونية ,قومية عربية ,القومية العربية (مترجمه),معاداة السامية ",-,
جبهة التحرير العربية ,بعثية ,-,
جيش الاسلام (مترجمه),"الجهادية (مترجمه),السلفية ,إسلاموية ",-,
جيش الجهاد المقدس ,"القومية العربية (مترجمه),إسلاموية ,معاداة الصهيونية ,وطنية فلسطينية ,قومية عربية ",-,
كما الصاعقة (مترجمه),"البعثية الجديدة (مترجمه),وطنية فلسطينية ,القومية العربية (مترجمه)",أقصى اليسار (مترجمه),
محور المقاومة ,"إسلاموية شيعية ,خمينية ,أوبل (مترجمه),معاداة الصهيونية ,معاداة السنة (مترجمه),معاداة الغرب (مترجمه),الجهادية الشيعية (مترجمه)",خيمة كبيرة (سياسة) ,
منظمة أيلول الأسود ,"وطنية فلسطينية ,معاداة الصهيونية ",-,
الجبهة الديمقراطية لتحرير فلسطين ,"شيوعية ,ماركسية لينينية ,القومية اليسارية (مترجمه),أوبل (مترجمه),معاداة الصهيونية ,ماوية ,وطنية فلسطينية ",أقصى اليسار (مترجمه),
حركة فتح ,"ديمقراطية اجتماعية ,أوبل (مترجمه),معاداة الاستعمارية ,اشتراكية عربية ,علمانية ,وطنية فلسطينية ,حل الدولتين (مترجمه)","يسارية ,يسار الوسط (مترجمه)",محمود العالول 
حراس الأرز ,"محافظة اجتماعية ,عصبية قومية ,معاداة فلسطين والعلمانية (مترجمه),معاداة الشيوعية ,قومية إثنية ,قومية فينيقية ,قومية لبنانية ,فاشية ",اليمين المتطرف (مترجمه),
حركة حماس ,"مادة (مترجمه),شيما (مترجمه),القومية الاسلامية (مترجمه),شرطة أفقية ,شرطة أفقية ,– إس إف إن (مترجمه),- مادة (مترجمه),إس إف إن (مترجمه),ليتفاك (مترجمه),مادة (مترجمه),– إس إف إن (مترجمه),إسلاموية ,أوبل (مترجمه),جيلفين (مترجمه),معاداة الصهيونية ,دالاكورا (مترجمه),دونينج (مترجمه),إس إف إن (مترجمه),أصولية إسلامية ,مادة (مترجمه),وطنية فلسطينية ,ستيبانوفا (مترجمه),إس إف إن (مترجمه),سياسة عسكرية ,ص ص (مترجمه)",-,"يحيى السنوار ,خليل الحية (مترجمه),ابو عمر حسن (مترجمه),يحيى السنوار ,اغتيال محمد ضيف الله عفن (مترجمه),اغتيال محمد ضيف (مترجمه)"
حزب الله ,"معاداة السامية ,إسلاموية شيعية ,خمينية ,معاداة الاستعمارية ,ضد المثليين (مترجمه),طائفية ,قائمة غير منقوطة (مترجمه),معاداة الصهيونية ,التعددية الإسلامية (مترجمه),القومية الاسلامية (مترجمه),شعبوية ,الجهادية الشيعية (مترجمه),أنتيويست (مترجمه)",توفيق بين الأديان ,"إشغال ,هاشم صفي الدين "
المنظمة العسكرية الوطنية (مترجمه),"المشاعر المعادية لبريطانيا (مترجمه),صهيونية تصحيحية ,المشاعر المعادية للعرب (مترجمه)",-,
الجماعة الإسلامية في مصر ,"التعددية الإسلامية (مترجمه),محافظة اجتماعية ,معاداة الصهيونية ,إسلاموية ",من يمين الوسط إلى اليمين (مترجمه),
الجيش الأحمر الياباني ,"معاداة الفاشية ,شيوعية ,ماركسية لينينية ,أوبل (مترجمه),معاداة الاستعمارية ,ماوية ,معاداة الصهيونية ",أقصى اليسار (مترجمه),
حزب الكتائب اللبنانية (مترجمه),"محافظة اجتماعية ,مارونية سياسية ,معاداة الشيوعية ,قومية مسيحية ,ديمقراطية مسيحية ,قومية لبنانية ,الفلانخية ","يمين الوسط (مترجمه),يمينية ,أقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
القوات اللبنانية ,"قومية لبنانية ,محافظة ليبرالية ,ديمقراطية مسيحية ",يمينية ,"سمير جعجع ,بشير الجميل ,نائب الرئيس "
القوات اللبنانية ,"سياسة محافظة ,موارنة ,مناهضة القومية العربية (مترجمه),قومية مسيحية ,معاداة الشيوعية ,قومية لبنانية ,الفيدرالية في لبنان (مترجمه)",من اليمين إلى أقصى اليمين (مترجمه),
الحركة الوطنية اللبنانية ,"شيوعية ,القومية العربية (مترجمه),اللاطائفية ,وطنية فلسطينية ,معاداة الصهيونية ,علمانية ,اشتراكية ,قومية عربية ,التعددية المذهبية (مترجمه)",-,
جبهة المقاومة الوطنية اللبنانية ,"القومية السورية ,بعثية ,القومية العربية (مترجمه),القومية اليسارية (مترجمه),اشتراكية ثورية ,معاداة الاستعمارية ,اشتراكية عربية ,معاداة الصهيونية ,الماركسيةاللينينية (مترجمه),علمانية ,قومية عربية ",أقصى اليسار (مترجمه),
سرايا المقاومة اللبنانية ,"معاداة الصهيونية ,التعددية المذهبية (مترجمه),قومية لبنانية ",-,
أفواج المقاومة اللبنانية ,"معاداة الصهيونية ,وطنية ,قومية لبنانية ",-,
ليهي (مترجمه),"صهيونية تصحيحية ,بلشفية وطنية ,معاداة الاستعمارية ,أوبل (مترجمه),المشاعر المعادية لبريطانيا (مترجمه),من (مترجمه)",توفيق بين الأديان ,
الإخوان المسلمون ,"محافظة اجتماعية ,التيار القطبي ,معاداة الشيوعية (مترجمه),السلفية ,إسلاموية ,التصوف الجديد (مترجمه),سياسة محافظة ,أوبل (مترجمه),معاداة الاستعمارية ,معاداة الشيوعية ,التعددية الإسلامية (مترجمه),معاداة الصهيونية ,فصيل (مترجمه)",الجناح اليميني (مترجمه),
جبهة التحرير الفلسطينية ,وطنية فلسطينية ,-,
منظمة التحرير الفلسطينية ,"بعثية ,حل الدولة الواحدة معاداة الصهيونية (مترجمه),ماركسية ,القومية العربية (مترجمه),أغسطس ,سي إن (مترجمه),أوبل (مترجمه),معاداة الاستعمارية ,الفصائل (مترجمه),اشتراكية عربية ,حل الدولة الواحدة (مترجمه),معاداة الصهيونية ,فصائل أغسطس (مترجمه),أغسطس البعثية الماركسية (مترجمه),علمانية ,وطنية فلسطينية ,قومية عربية ",يسارية ,محمود عباس 
حركة الجهاد الاسلامي (مترجمه),"إسلاموية ,أوبل (مترجمه),معاداة الاستعمارية ,معاداة الصهيونية ,القومية الاسلامية (مترجمه),وطنية فلسطينية ",-,
جبهة التحرير الفلسطينية ,وطنية فلسطينية ,-,
جبهة النضال الشعبي الفلسطيني ,"القومية اليسارية (مترجمه),اشتراكية ,وطنية فلسطينية ",يسارية ,
منظمة مجاهدي خلق (مترجمه),انظر أدناه (مترجمه),يسارية ,
الجبهة الشعبية لتحرير فلسطين ,"شيوعية ,ماركسية لينينية ,القومية العربية (مترجمه),اشتراكية ثورية ,أوبل (مترجمه),معاداة الاستعمارية ,حل الدولة الواحدة (مترجمه),معاداة الصهيونية ,علمانية ,وطنية فلسطينية ,قومية عربية ",أقصى اليسار (مترجمه),أحمد سعدات 
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"وطنية فلسطينية ,قومية عربية ,معاداة الصهيونية ",من اليسار إلى اليمين (مترجمه),أمين عام 
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"وطنية فلسطينية ,قومية عربية ,معاداة الصهيونية ",من اليسار إلى اليمين (مترجمه),أمين عام 
لجان المقاومة الشعبية ,"فلسطينية ,وطنية فلسطينية ,حرب ,معاداة الصهيونية ",-,
الخلايا الثورية (مترجمه),"معاداة الصهيونية ,اوو (مترجمه),شرعوية (لاهوت) ,ماركسية ,معاداة الاستعمارية ",-,
جيش لبنان الجنوبي ,"صهيونية ,الوحدة الاسلامية المسيحية (مترجمه),مارونية سياسية ,الفصائل (مترجمه),معاداة الشيوعية ,علمانية ,قومية لبنانية ,معاداة فلسطين (مترجمه),التعددية المذهبية (مترجمه)",-,
جيش لبنان الجنوبي ,"صهيونية ,الوحدة الاسلامية المسيحية (مترجمه),مارونية سياسية ,الفصائل (مترجمه),معاداة الشيوعية ,علمانية ,قومية لبنانية ,معاداة فلسطين (مترجمه),التعددية المذهبية (مترجمه)",-,
الحزب السوري القومي الاجتماعي ,"القومية السورية ,قومية يسارية ,قومية اقتصادية ,قائمة قابلة للطي (مترجمه),معاداة السامية ,التحرر السوري (مترجمه),أوبل (مترجمه),معاداة الشيوعية ,علمانية ,فاشية ","efn مزامنة (مترجمه),في الماضي (مترجمه),لقد أخطأ البعض في اعتبار الحزب أو عناصر أيديولوجيته أو أعضائه منتمين إلى اليسار السياسي. (مترجمه),في بعض الأحيان يتم تصنيفها على أنها يمينية متطرفة (مترجمه),و يمين (مترجمه),في بعض الأحيان يتم تصنيفها على أنها يمينية متطرفة (مترجمه),و يمين (مترجمه)","داء الكلب بنات (مترجمه),أنطون سعادة "
