Name,Ideology,Political Position,Founder(s)
Al-Aqsa Martyrs Brigades,"<!-- Palestinian nationalism and Anti-Zionism can be assumed,but DONT add any other ideologies unless you have a RECENT erence. -->,Plainlist,Anti-Zionism,Secularism,Palestinian nationalism",-,
,"Pan-Arabism,Anti-imperialism,Nasserism,Arab socialism,Arab nationalism",Left-wing,
Amal Movement,"Traditionalist conservatism,ubl,Anti-Zionism,Lebanese nationalism,Populism,Multiconfessionalism,Muslim–Christian unity",Centre-right,"Nabih Berri,Musa al-Sadr,Hussein el-Husseini,Mostafa Chamran,Grégoire Haddad,"
Amal Movement,"Traditionalist conservatism,ubl,Anti-Zionism,Lebanese nationalism,Populism,Multiconfessionalism,Muslim–Christian unity",Centre-right,"Nabih Berri,Musa al-Sadr,Hussein el-Husseini,Mostafa Chamran,Grégoire Haddad,"
Arab Higher Committee,"Palestinian nationalism,Arab nationalism,Anti-Zionism",-,
Arab Liberation Army,"Anti-Zionism,Arab nationalism,Pan-Arabism,Antisemitism",-,
Arab Liberation Front,Baathism,-,
Army of Islam,"Jihadism,Salafism,Sunni Islamism",-,
Army of the Holy War,"Pan-Arabism,Islamism,Anti-Zionism,Palestinian nationalism,Arab nationalism",-,
As-Saiqa,"Neo-Baathism,Palestinian nationalism,Pan-Arabism",Far-left,
Axis of Resistance,"Shia Islamism,Khomeinism,ubl,Anti-Zionism,Anti-Sunnism,Anti-Westernism,Shia jihadism",Big tent,
Black September Organization,"Palestinian nationalism,Anti-Zionism",-,
Democratic Front for the Liberation of Palestine,"Communism,Marxism–Leninism,Left-wing nationalism,ubl,Anti-Zionism,Maoism,Palestinian nationalism",Far-left,
Fatah,"Social democracy,ubl,Anti-imperialism,Arab socialism,Secularism,Palestinian nationalism,Two-state solution","left-wing,Centre-left","Mahmoud Aloul,"
Guardians of the Cedars,"Social conservatism,Anti Arabism,Ultranationalism,Anti-Palestinianism<br/ >Secularism,Anti-communism,Ethnic nationalism,Phoenicianism,Lebanese nationalism,Fascism",Far-right,
Islamic Resistance Movement,"465 efn,Cheema,Islamic nationalism,156–57,66–67,156–57 sfn,66–67 efn,sfn,Litvak,113 efn,66–67 sfn,Islamism,ubl,Gelvin,Anti-Zionism,Dalacoura,Dunning,226 sfn,Islamic fundamentalism,efn,Palestinian nationalism,Stepanova,465 sfn,Militarism,pp",-,"Yahya Sinwar,Khalil al-Hayya,Abu Omar Hassan,Yahya Sinwar,2024 targeted assassination of Muhammad Deif efn,Mohammed Deif Assassinated,"
Islamic Resistance in Lebanon,"Antisemitism,Shia Islamism,Khomeinism,Anti-imperialism,Anti-LGBT,Sectarianism,Unbulleted list,Anti-Zionism,Pan-Islamism,Islamic nationalism,Populism,Shia jihadism,Anti-West",Syncretic,"Vacant,Naim Qassem,Hashem Safieddine,"
National Military Organization,"Anti-British sentiment,Revisionist Zionism,Anti-Arab sentiment",-,
Islamic Group,"Pan-Islamism,Social conservatism,Anti-Zionism,Sunni Islamism",Centre-right to right-wing,
Japanese Red Army,"Anti-fascism,Communism,Marxism–Leninism,ubl,Anti-imperialism,Maoism,Anti-zionism",Far-left,
Lebanese Kataeb Party,"Social conservatism,Maronite politics,Anti-communism,Christian nationalism,Christian democracy,Lebanese nationalism,Falangism","Centre-right,Right-wing,far-right","Samy Gemayel,Pierre Gemayel,"
Lebanese Forces,"Lebanese nationalism,Liberal conservatism,Christian democracy",Right-wing,"Samir Geagea,Bachir Gemayel,Vice-president,"
Lebanese Forces,"Conservatism,Maronism,Anti Pan-Arabism,Christian nationalism,Anti-communism,Lebanese nationalism,Federalism in Lebanon",Right-wing to far-right,
Lebanese National Movement,"Communism,Pan-Arabism,non-sectarianism,Palestinian nationalism,Anti-Zionism,Secularism,Socialism,Arab nationalism,Multiconfessionalism",-,
Lebanese National Resistance Front,"Syrian nationalism,Baathism,Pan-Arabism,Left-wing nationalism,Revolutionary socialism,Anti-imperialism,Arab socialism,Anti-Zionism,Marxism-Leninism,Secularism,Arab nationalism",Far-left,
Lebanese Resistance Brigades,"Anti-Zionism,Multiconfessionalism,Lebanese nationalism",-,
Lebanese Resistance Regiments,"Anti-Zionism,Patriotism,Lebanese nationalism",-,
Lehi,"Revisionist Zionism,National Bolshevism,Anti-imperialism,ubl,Anti-British sentiment,From 1944:",Syncretic,
Society of the Muslim Brothers,"Social conservatism,Qutbism,Anti-communism n,Salafism,Sunni Islamism,Neo-Sufism,Religious conservatism,ubl,Anti-imperialism,Anti-communism,Pan-Islamism,Anti-Zionism,Faction:",Right-wing n,
Palestinian Liberation Front,Palestinian nationalism,-,
Palestine Liberation Organization,"Baathism,One-state solution * Anti-Zionism,Marxism,Pan-Arabism,August 2024,cn,ubl,Anti-imperialism,Factions:,Arab socialism,One-state solution,Anti-Zionism,August 2024 * Factions:,August 2024 * Baathism * Marxism,Secularism,Palestinian nationalism,Arab nationalism",Left-wing,"Mahmoud Abbas,"
Islamic Jihad Movement,"Sunni Islamism,ubl,Anti-imperialism,Anti-Zionism,Islamic nationalism,Palestinian nationalism",-,
Palestinian Liberation Front,Palestinian nationalism,-,
Palestinian Popular Struggle Front,"Left-wing nationalism,Socialism,Palestinian nationalism",Left-wing,
Peoples Mojahedin Organization,See below,Left-wing,
Popular Front for the Liberation of Palestine,"Communism,Marxism–Leninism,Pan-Arabism,Revolutionary socialism,ubl,Anti-imperialism,One-state solution,Anti-Zionism,Secularism,Palestinian nationalism,Arab nationalism",Far-left,"Ahmad Saadat,Jamil Mezher,"
