الدين,الجنسيه,الحزب السياسي,الاسم
-,فلسطينيون ,,صبري البنا 
-,إيراني سويدي (مترجمه),-,أحمد رضا جلالي (مترجمه)
-,-,-,أردشير حسين بور (مترجمه)
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,ليكود ,بنيامين نتنياهو 
-,-,-,إلحانان تاننباوم 
-,إيراني (مترجمه),جمعية الموالين للثورة الإسلامية ,فريدون عباسي دوائي 
-,-,تيار المستقبل ,فؤاد السنيورة 
-,-,تيار المستقبل ,فؤاد السنيورة 
أهل السنة والجماعة ,-,-,الحسين بن طلال 
-,فلسطينيون ,-,جهاد أحمد جبريل 
-,-,-,خليل الوزير (مترجمه)
-,-,-,مجيد شهرياري 
-,-,-,مسعود علي محمدي (مترجمه)
-,-,التيار الوطني الحر ,ميشال عون 
-,-,"الجمهوريون صغار (مترجمه),حزب الشعب الأوروبي الصغير (مترجمه)",ميشيل اليوت ماري (مترجمه)
-,-,-,محسن فخري زاده 
-,-,-,روبرت فيسك 
-,-,تيار المستقبل ,سعد الحريري 
-,فلسطينيون ,حركة حماس ,صالح العاروري (مترجمه)
-,لبناني (مترجمه),-,سمير القنطار 
-,-,تيار المستقبل ,فؤاد السنيورة 
-,-,الحزب التقدمي الاشتراكي ,وليد جنبلاط 
-,-,حركة فتح ,ياسر عرفات 
-,-,حركة فتح ,-1
