Name,Subdivision type,Subdivision name
Algeria,-,-
Palestine,-,-
Iraq,-,-
Beirut,Country,Lebanon
-,Country,Syria
Egypt,-,-
European Union,-,-
France,-,-
Greece,-,-
Iraq,-,-
Israel,-,-
Jordan,-,-
Egypt,-,-
Iraq,-,-
Kuwait,-,-
Lebanon,-,-
Libya,-,-
-,Sovereign state,United Kingdom
Morocco,-,-
North Korea,-,-
Palestinian National Authority,-,-
Saudi Arabia,-,-
Syrian Republic,-,-
Sidon,Country,Lebanon
Soviet Union,-,-
Sudan,-,-
Syria,-,-
Tripoli,Country,LBN
Tunis,Country,Tunisia
Tunisia,-,-
Tyre,Country,"Lebanon,Flag"
UAE,-,-
United Arab Republic,-,-
United Kingdom,-,-
United States,-,-
Beirut,Country,Lebanon
Yemen,-,-
