الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
كتائب شهداء الأقصى (مترجمه),"يمكن افتراض القومية الفلسطينية ومعاداة الصهيونية (مترجمه),لكن لا تضيف أي أيديولوجيات أخرى إلا إذا كان لديك اهتمام حديث (مترجمه),قائمة بسيطة (مترجمه),معاداة الصهيونية ,علمانية ,وطنية فلسطينية ",-,
,"التيار الناصري ,قومية عربية ,اشتراكية عربية ,معاداة الاستعمارية ,القومية العربية (مترجمه)",يسارية ,
التنظيم (مترجمه),"معاداة الشيوعية ,عصبية قومية ,قومية لبنانية ",-,
حركة أمل ,"التعددية المذهبية (مترجمه),الوحدة الاسلامية المسيحية (مترجمه),قومية لبنانية ,شعبوية ,أوبل (مترجمه),معاداة الصهيونية ,تقليدوية ",يمين الوسط (مترجمه),"نبيه بري ,موسى الصدر (مترجمه),مصطفى تشمران ,حسين الحسيني (مترجمه),غريغوار حداد "
اللجنة العربية العليا ,"قومية عربية ,معاداة الصهيونية ,وطنية فلسطينية ",-,
جيش الإنقاذ ,"القومية العربية (مترجمه),قومية عربية ,معاداة السامية ,معاداة الصهيونية ",-,
جبهة التحرير العربية ,بعثية ,-,
حزب البعث العربي الاشتراكي (لبنان) ,"البعثية الجديدة (مترجمه),أوبل (مترجمه)",-,
هاى (مترجمه),"اشتراكية ثورية ,قومية أرمنية ,الماركسيةاللينينية (مترجمه),القومية اليسارية (مترجمه)",من اليسار إلى أقصى اليسار (مترجمه),
جيش الاسلام (مترجمه),"الجهادية (مترجمه),السلفية ,إسلاموية ",-,
جيش الجهاد المقدس ,"قومية عربية ,إسلاموية ,معاداة الصهيونية ,القومية العربية (مترجمه),وطنية فلسطينية ",-,
كما الصاعقة (مترجمه),"القومية العربية (مترجمه),بعثية ",-,
منظمة أيلول الأسود ,"معاداة الصهيونية ,وطنية فلسطينية ",-,
منظمة العمل الشيوعي في لبنان ,"شيوعية ,ماركسية لينينية ",من اليسار إلى أقصى اليسار (مترجمه),
الجبهة الديمقراطية لتحرير فلسطين ,"شيوعية ,ماوية ,القومية اليسارية (مترجمه),أوبل (مترجمه),ماركسية لينينية ,معاداة الصهيونية ,وطنية فلسطينية ",أقصى اليسار (مترجمه),
حركة فتح ,"حل الدولتين (مترجمه),اشتراكية عربية ,أوبل (مترجمه),ديمقراطية اجتماعية ,معاداة الاستعمارية ,علمانية ,وطنية فلسطينية ","يسار الوسط (مترجمه),يسارية ",محمود العالول 
التيار الوطني الحر ,"قومية مدنية ,تزعم مصادر مختلفة وجود القومية المدنية والقومية المسيحية (مترجمه),ديمقراطية مسيحية ,قومية لبنانية ","مركز (توضيح) ,يمينية ,يسار الوسط (مترجمه),أوبل (مترجمه)",
حراس الأرز ,"عصبية قومية ,قومية إثنية ,معاداة فلسطين والعلمانية (مترجمه),قومية لبنانية ,قومية فينيقية ,محافظة اجتماعية ,فاشية جديدة ,معاداة الشيوعية ",اليمين المتطرف (مترجمه),
حركة حماس ,"- مادة (مترجمه),مادة (مترجمه),إسلاموية ,– إس إف إن (مترجمه),أصولية إسلامية ,معاداة الصهيونية ,مادة (مترجمه),وطنية فلسطينية ,شرطة أفقية ,شيما (مترجمه),ستيبانوفا (مترجمه),دونينج (مترجمه),مادة (مترجمه),إس إف إن (مترجمه),إس إف إن (مترجمه),سياسة عسكرية ,أوبل (مترجمه),جيلفين (مترجمه),القومية الاسلامية (مترجمه),– إس إف إن (مترجمه),دالاكورا (مترجمه),شرطة أفقية ,إس إف إن (مترجمه),ليتفاك (مترجمه),ص ص (مترجمه)",-,"يحيى السنوار ,خليل الحية (مترجمه),ابو عمر حسن (مترجمه),يحيى السنوار ,اغتيال محمد ضيف الله عفن (مترجمه),اغتيال محمد ضيف (مترجمه)"
حزب الله ,"معاداة السامية ,طائفية ,أنتيويست (مترجمه),خمينية ,إسلاموية شيعية ,شعبوية ,الجهادية الشيعية (مترجمه),التعددية الإسلامية (مترجمه),ضد المثليين (مترجمه),معاداة الصهيونية ,قائمة غير منقوطة (مترجمه),معاداة الاستعمارية ,القومية الاسلامية (مترجمه)",توفيق بين الأديان ,"إشغال ,هاشم صفي الدين "
المنظمة العسكرية الوطنية (مترجمه),"صهيونية تصحيحية ,المشاعر المعادية للعرب (مترجمه),المشاعر المعادية لبريطانيا (مترجمه)",-,
الجيش الأحمر الياباني ,"شيوعية ,ماوية ,أوبل (مترجمه),معاداة الفاشية ,ماركسية لينينية ,معاداة الصهيونية ,معاداة الاستعمارية ",أقصى اليسار (مترجمه),
كتيبة جنين ,وطنية فلسطينية ,-,
حزب الكتائب اللبنانية (مترجمه),"ديمقراطية مسيحية ,قومية لبنانية ,مارونية سياسية ,محافظة اجتماعية ,الفلانخية ,معاداة الشيوعية ,قومية مسيحية ","يمين الوسط (مترجمه),يمينية ,أقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
حزب العمال الكردستاني ,"قائمة جينولوجي (مترجمه),قائمة بسيطة (مترجمه),مناهضة الرأسمالية ,قومية كردية ,ماركسية لينينية ,كونفدرالية ديمقراطية ,الطائفية (مترجمه),تقدمية ,الكونفدرالية الديمقراطية الاشتراكية الليبرالية التقدمية مناهضة الرأسمالية (مترجمه),اشتراكية تحررية ","يسارية ,قائمة بسيطة لليسار (مترجمه),قائمة عادية (مترجمه)",
الحزب الشيوعي اللبناني ,"شيوعية ,اشتراكية ,ماركسية لينينية ,اللاطائفية ,معاداة الصهيونية ",أقصى اليسار (مترجمه),
القوات اللبنانية ,"محافظة ليبرالية ,ديمقراطية مسيحية ,قومية لبنانية ",يمينية ,"سمير جعجع ,بشير الجميل ,نائب الرئيس "
القوات اللبنانية ,"سياسة محافظة ,قومية لبنانية ,معاداة الشيوعية ,الفيدرالية في لبنان (مترجمه),مناهضة القومية العربية (مترجمه),موارنة ,قومية مسيحية ",من اليمين إلى أقصى اليمين (مترجمه),
الجبهة اللبنانية ,"الفصائل (مترجمه),معاداة فلسطين (مترجمه),معاداة القومية العربية (مترجمه),قومية لبنانية ,قومية فينيقية ,الفلانخية ,معاداة الشيوعية ,معاداة العرب (مترجمه),قومية مسيحية ",-,
جبهة المقاومة الوطنية اللبنانية ,"قومية عربية ,علمانية ,الماركسيةاللينينية (مترجمه),اشتراكية ثورية ,اشتراكية عربية ,القومية اليسارية (مترجمه),القومية السورية ,بعثية ,معاداة الصهيونية ,معاداة الاستعمارية ,القومية العربية (مترجمه)",أقصى اليسار (مترجمه),
ليهي (مترجمه),"أوبل (مترجمه),صهيونية تصحيحية ,بلشفية وطنية ,معاداة الاستعمارية ,المشاعر المعادية لبريطانيا (مترجمه),من (مترجمه)",توفيق بين الأديان ,
الإخوان المسلمون ,"التيار القطبي ,سياسة محافظة ,معاداة الشيوعية (مترجمه),السلفية ,محافظة اجتماعية ,أوبل (مترجمه),التعددية الإسلامية (مترجمه),معاداة الشيوعية ,معاداة الصهيونية ,فصيل (مترجمه),معاداة الاستعمارية ,إسلاموية ,التصوف الجديد (مترجمه)",الجناح اليميني (مترجمه),
منظمة التحرير الفلسطينية ,"الفصائل (مترجمه),قومية عربية ,علمانية ,سي إن (مترجمه),حل الدولة الواحدة معاداة الصهيونية (مترجمه),أغسطس ,اشتراكية عربية ,حل الدولة الواحدة (مترجمه),ماركسية ,فصائل أغسطس (مترجمه),أوبل (مترجمه),أغسطس البعثية الماركسية (مترجمه),بعثية ,معاداة الصهيونية ,معاداة الاستعمارية ,القومية العربية (مترجمه),وطنية فلسطينية ",يسارية ,محمود عباس 
حركة الجهاد الاسلامي (مترجمه),"أوبل (مترجمه),معاداة الصهيونية ,معاداة الاستعمارية ,إسلاموية ,القومية الاسلامية (مترجمه),وطنية فلسطينية ",-,
جبهة التحرير الفلسطينية ,وطنية فلسطينية ,-,
منظمة التحرير الفلسطينية ,"الفصائل (مترجمه),قومية عربية ,علمانية ,سي إن (مترجمه),حل الدولة الواحدة معاداة الصهيونية (مترجمه),أغسطس ,اشتراكية عربية ,حل الدولة الواحدة (مترجمه),ماركسية ,فصائل أغسطس (مترجمه),أوبل (مترجمه),أغسطس البعثية الماركسية (مترجمه),بعثية ,معاداة الصهيونية ,معاداة الاستعمارية ,القومية العربية (مترجمه),وطنية فلسطينية ",يسارية ,محمود عباس 
جبهة النضال الشعبي الفلسطيني ,"القومية اليسارية (مترجمه),وطنية فلسطينية ,اشتراكية ",يسارية ,
حزب الكتائب اللبنانية (مترجمه),"ديمقراطية مسيحية ,قومية لبنانية ,مارونية سياسية ,محافظة اجتماعية ,الفلانخية ,معاداة الشيوعية ,قومية مسيحية ","يمين الوسط (مترجمه),يمينية ,أقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
الجبهة الشعبية لتحرير فلسطين ,"قومية عربية ,شيوعية ,اشتراكية ثورية ,حل الدولة الواحدة (مترجمه),أوبل (مترجمه),ماركسية لينينية ,معاداة الصهيونية ,معاداة الاستعمارية ,علمانية ,القومية العربية (مترجمه),وطنية فلسطينية ",أقصى اليسار (مترجمه),أحمد سعدات 
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية ,معاداة الصهيونية ,وطنية فلسطينية ",من اليسار إلى اليمين (مترجمه),أمين عام 
لجان المقاومة الشعبية ,"حرب ,فلسطينية ,وطنية فلسطينية ,معاداة الصهيونية ",-,
الخلايا الثورية (مترجمه),"ماركسية ,اوو (مترجمه),شرعوية (لاهوت) ,معاداة الصهيونية ,معاداة الاستعمارية ",-,
حركة الصابرين حصن ,"خمينية ,معاداة الصهيونية ",-,
جيش لبنان الجنوبي ,"التعددية المذهبية (مترجمه),الفصائل (مترجمه),معاداة فلسطين (مترجمه),قومية لبنانية ,مارونية سياسية ,صهيونية ,معاداة الشيوعية ,الوحدة الاسلامية المسيحية (مترجمه),علمانية ",-,
الحزب السوري القومي الاجتماعي ,"معاداة السامية ,قومية اقتصادية ,قومية يسارية ,فاشية ,القومية السورية ,قائمة قابلة للطي (مترجمه),أوبل (مترجمه),معاداة الشيوعية ,التحرر السوري (مترجمه)","في بعض الأحيان يتم تصنيفها على أنها يمينية متطرفة (مترجمه),في الماضي (مترجمه),لقد أخطأ البعض في اعتبار الحزب أو عناصر أيديولوجيته أو أعضائه منتمين إلى اليسار السياسي. (مترجمه),و يمين (مترجمه),في بعض الأحيان يتم تصنيفها على أنها يمينية متطرفة (مترجمه),efn مزامنة (مترجمه),و يمين (مترجمه)","داء الكلب بنات (مترجمه),أنطون سعادة "
