Name,Ideology,Political Position,Founder(s)
Al-Aqsa Martyrs Brigades,"<!-- Palestinian nationalism and Anti-Zionism can be assumed,but DONT add any other ideologies unless you have a RECENT erence. -->,Plainlist,Anti-Zionism,Secularism,Palestinian nationalism",-,
,"Nasserism,Arab nationalism,Arab socialism,Anti-imperialism,Pan-Arabism",Left-wing,
Al-Tanzim,"Anti-communism,Ultranationalism,Lebanese nationalism",-,
Amal Movement,"Multiconfessionalism,Muslim–Christian unity,Lebanese nationalism,Populism,ubl,Anti-Zionism,Traditionalist conservatism",Centre-right,"Nabih Berri,Musa al-Sadr,Mostafa Chamran,Hussein el-Husseini,Grégoire Haddad,"
Arab Higher Committee,"Arab nationalism,Anti-Zionism,Palestinian nationalism",-,
Arab Liberation Army,"Pan-Arabism,Arab nationalism,Antisemitism,Anti-Zionism",-,
Arab Liberation Front,Baathism,-,
Arab Socialist Baath Party – Lebanon Region,"Neo-Baathism,ubl",-,
hy,"Revolutionary socialism,Armenian nationalism,Marxism-Leninism,Left-wing nationalism",Left-wing to far-left,
Army of Islam,"Jihadism,Salafism,Sunni Islamism",-,
Army of the Holy War,"Arab nationalism,Islamism,Anti-Zionism,Pan-Arabism,Palestinian nationalism",-,
As-Saiqa,"Pan-Arabism,Baathism",-,
Black September Organization,"Anti-Zionism,Palestinian nationalism",-,
Communist Action Organization in Lebanon,"Communism,Marxism–Leninism",Left-wing to far-left,
Democratic Front for the Liberation of Palestine,"Communism,Maoism,Left-wing nationalism,ubl,Marxism–Leninism,Anti-Zionism,Palestinian nationalism",Far-left,
Fatah,"Two-state solution,Arab socialism,ubl,Social democracy,Anti-imperialism,Secularism,Palestinian nationalism","Centre-left,left-wing","Mahmoud Aloul,"
Free Patriotic Movement,"Civic nationalism,<!--Varying sources claim civic nationalism and Christian nationalism-->,Christian democracy,Lebanese nationalism","Centre,Right-wing,centre-left,ubl",
Guardians of the Cedars,"Ultranationalism,Ethnic nationalism,Anti-Palestinianism<br/ >Secularism,Lebanese nationalism,Phoenicianism,Social conservatism,Neo-fascism,Anti Arabism,Anti-communism",Far-right,
Islamic Resistance Movement,"66–67 efn,113 efn,Islamism,156–57 sfn,Islamic fundamentalism,Anti-Zionism,465 efn,Palestinian nationalism,156–57,Cheema,Stepanova,Dunning,efn,226 sfn,sfn,Militarism,ubl,Gelvin,Islamic nationalism,66–67 sfn,Dalacoura,66–67,465 sfn,Litvak,pp",-,"Yahya Sinwar,Khalil al-Hayya,Abu Omar Hassan,Yahya Sinwar,2024 targeted assassination of Muhammad Deif efn,Mohammed Deif Assassinated,"
Islamic Resistance in Lebanon,"Antisemitism,Sectarianism,Anti-West,Khomeinism,Shia Islamism,Populism,Shia jihadism,Pan-Islamism,Anti-LGBT,Anti-Zionism,Unbulleted list,Anti-imperialism,Islamic nationalism",Syncretic,"Vacant,Naim Qassem,Hashem Safieddine,"
National Military Organization,"Revisionist Zionism,Anti-Arab sentiment,Anti-British sentiment",-,
Japanese Red Army,"Communism,Maoism,ubl,Anti-fascism,Marxism–Leninism,Anti-zionism,Anti-imperialism",Far-left,
Jenin Brigades,Palestinian nationalism,-,
Lebanese Kataeb Party,"Christian democracy,Lebanese nationalism,Maronite politics,Social conservatism,Falangism,Anti-communism,Christian nationalism","Centre-right,Right-wing,far-right","Samy Gemayel,Pierre Gemayel,"
