الدين,الجنسيه,الحزب السياسي,الاسم
-,-,-,-1
-,فلسطينيون ,الجبهة الشعبية لتحرير فلسطين ,أبو علي مصطفى 
-,-,حركة فتح ,صلاح خلف 
-,-,-,خليل الوزير 
-,فلسطينيون ,,صبري البنا 
-,-,-,-1
-,فلسطينيون ,الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,أحمد جبريل 
-,فلسطينيون ,حركة حماس ,أحمد ياسين 
-,-,-,علي حسن سلامة 
-,-,-,عامي أيالون 
الإسلام ,-,اللجنة العربية العليا ,أمين الحسيني (مترجمه)
-,إسرائيلي (مترجمه),تَعَب (مترجمه),أمنون ليبكينشاك (مترجمه)
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,-,آفي ديختر 
-,-,-,أفي شلايم 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,ليكود ,بنيامين نتنياهو 
-,-,,بيني غانتس 
-,-,-,بيني موريس 
-,-,-,دان حالوتس 
-,-,-,داني ياتوم 
-,-,قائمة بسيطة (مترجمه),ديفيد بن جوريون (مترجمه)
-,-,-,افرايم هليفي 
-,-,الحزب الديمقراطي الإسرائيلي (مترجمه),إيهود باراك 
-,-,,إيهود أولمرت 
-,-,-,إيلي جيفا 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,فادي أفرام 
-,فلسطينيون ,حركة الجهاد الإسلامي في فلسطين ,فتحي الشقاقي 
-,فلسطينيون ,الجبهة الشعبية لتحرير فلسطين ,جورج حبش 
-,-,"حركة اليسار الديمقراطي (مترجمه),الحزب الشيوعي اللبناني ,نوفمبر ",جورج حاوي 
-,-,,جولدا مائير 
-,-,,حافظ الأسد (مترجمه)
-,فلسطينيون ,حركة حماس ,إسماعيل هنية 
-,-,-,عز الدين القسام (مترجمه)
-,دولة فلسطين ,حركة فتح ,جبريل الرجوب 
-,فلسطينيون ,حركة حماس ,خالد مشعل 
-,-,-,خليل الوزير (مترجمه)
-,-,-,ليلى خالد 
-,فلسطينيون ,حركة فتح ,محمود عباس 
-,-,-,محمود دعاس (مترجمه)
-,-,-,محسوم قرقماز (مترجمه)
-,-,,مروان البرغوثي 
-,-,-,مئير داغان 
-,-,-,مناحم بيجن 
-,-,حركة فتح ,محمد دحلان 
-,-,-,محمد الضيف 
-,لبناني (مترجمه),"منظمة الاشتراكيين اللبنانيين ,منظمة العمل الشيوعي في لبنان ,حركة القوميين العرب ,الحركة الوطنية اللبنانية ,جبهة المقاومة الوطنية اللبنانية ",محسن إبراهيم 
-,-,-,مونتي ميلكونيان (مترجمه)
-,-,-,موشيه آرنز 
-,-,-,موشيه ديان 
-,-,-,موشيه يعلون 
-,فلسطينيون ,حركة فتح ,-1
-,-,-,أبو العباس (فلسطيني) 
-,سوريون ,"حزب البعث العربي الاشتراكي – سوريا إقليم حزب البعث العربي الاشتراكي (مترجمه),كان عضواً في حزب البعث الأصلي وفرعه القطري السوري حتى (مترجمه)",مصطفى طلاس 
-,-,,نفتالي بينيت 
-,-,الجبهة الديمقراطية لتحرير فلسطين ,نايف حواتمة 
-,-,-,أسامة بن لادن 
-,-,-,فيليب حبيب 
-,-,-,رافائيل إيتان 
-,فلسطينيون ,حركة الجهاد الإسلامي في فلسطين ,رمضان شلح 
-,-,,رونالد ريغان 
-,-,-,سعد حداد 
-,فلسطينيون ,-,سعد صايل 
-,-,حركة فتح ,صلاح خلف 
-,فلسطينيون ,حركة حماس ,صلاح شحادة 
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,إسرائيلي (مترجمه),-,شبتاي شافيت 
-,-,-,شاؤول موفاز 
-,إسرائيلي (مترجمه),أوبل (مترجمه),شمعون بيريز 
-,-,-,تسيبي ليفني 
-,فلسطينيون ,-,وديع حداد 
-,-,-,يعقوب بيري 
-,-,-,يحيى عياش 
-,-,حركة فتح ,ياسر عرفات 
-,-,حركة فتح ,-1
-,-,-,إسحاق مردخاي 
-,إسرائيلي (مترجمه),حزب العمال المحاذاة (مترجمه),إسحاق رابين 
-,إسرائيلي (مترجمه),,إسحاق شامير 
-,إسرائيلي (مترجمه),-,يوفال ديسكين 
-,أردني (مترجمه),حزب البعث العربي الاشتراكي ,زهير محسن 
-,إسرائيلي (مترجمه),-,تسفي زامير 
