Name,Political Party,Nationality,Religion
Abdel Aziz al-Rantisi,-,-,-
Abu Ali Mustafa,Popular Front for the Liberation of Palestine,Palestinian,-
Salah Khalaf,Fatah,-,-
Khalil al-Wazir,-,-,-
Abu Nidal,,Palestinian,-
Ahlam Tamimi,-,-,-
Ahmed Jibril,Popular Front for the Liberation of Palestine – General Command,Palestinian,-
Ahmed Yassin,Hamas,Palestinian,-
Ali Hassan Salameh,-,-,-
Nobold,-,-,-
Amin al-Husseini,Arab Higher Committee,-,Islam
Amnon Lipkin-Shahak,Labor,Israeli,-
nobold,plainlist,-,-
Avi Dichter,-,-,-
Avi Shlaim,-,-,-
Bachir Gemayel,Kataeb Party,-,-
nobold,Likud,-,-
Benny Gantz,,-,-
Benny Morris,-,-,-
Dan Halutz,-,-,-
Danny Yatom,-,-,-
David Ben-Gurion,Plainlist,-,-
Efraim Halevy,-,-,-
Ehud Barak,Israel Democratic Party,-,-
Ehud Olmert,,-,-
Eli Geva,-,-,-
Elie Hobeika,-,Lebanese,-
Fadi Frem,-,-,-
Fathi Shaqaqi,Islamic Jihad Movement in Palestine,Palestinian,-
George Habash,Popular Front for the Liberation of Palestine,Palestinian,-
George Hawi,"Democratic Left Movement Citation needed,Lebanese Communist Party,November 2016",-,-
Golda Meir,,-,-
Hafez al-Assad,,-,-
Ismail Haniyeh,Hamas,Palestinian,-
Izz ad-Din al-Qassam,-,-,-
Jibril Rajoub,Fatah,Palestine,-
Khaled Mashal,Hamas,Palestinian,-
Khalil al-Wazir,-,-,-
Leila Khaled,-,-,-
Mahmoud Abbas,Fatah,Palestinian,-
Mahmoud Daas,-,-,-
Mahsum Korkmaz,-,-,-
Marwan Barghouti,,-,-
Meir Dagan,-,-,-
nobold,-,-,-
Mohammad Dahlan,Fatah,-,-
Mohammed Diab Ibrahim al-Masri,-,-,-
Mohsin Ibrahim,"Organization of Lebanese Socialists,Communist Action Organization in Lebanon,Arab Nationalist Movement,Lebanese National Movement,Lebanese National Resistance Front",Lebanese,-
Monte Melkonian,-,-,-
Moshe Arens,-,-,-
Moshe Dayan,-,-,-
Moshe Yaalon,-,-,-
Moussa Arafat al-Qudwa,Fatah,Palestinian,-
Muhammad Zaidan,-,-,-
Mustafa Tlass,"Arab Socialist Baath Party – Syria Region of the Arab Socialist Baath Party,Was a member of the original Baath Party and its Syrian Regional Branch until 1966",Syrian,-
Naftali Bennett,,-,-
Nayef Hawatmeh,DFLP,-,-
Osama bin Laden,-,-,-
Philip Habib,-,-,-
Rafael Eitan,-,-,-
Ramadan Shalah,Islamic Jihad Movement in Palestine,Palestinian,-
-,,-,-
Saad Haddad,-,-,-
Saad Sayel,-,Palestinian,-
Salah Khalaf,Fatah,-,-
Salah Mustafa Muhammad Shehade,Hamas,Palestinian,-
Samir Geagea,Lebanese Forces,Lebanese,-
Shabtai Shavit,-,Israeli,-
Shaul Mofaz,-,-,-
nobold,ubl,Israeli,-
Tzipi Livni,-,-,-
Wadie Haddad,-,Palestinian,-
-,-,-,-
Yahya Ayyash,-,-,-
Yasser Arafat,Fatah,-,-
Yasser Arafat,Fatah,-,-
Yitzhak Mordechai,-,-,-
Yitzhak Rabin,"Alignment, Labor Party",Israeli,-
יצחק שמיר,,Israeli,-
Yuval Diskin,-,Israeli,-
Zuheir Mohsen,Baath party,Jordanian,-
Zvi Zamir,-,Israeli,-
